 CONGRESSO ENDOGINECO ,,
Horário ,"Quinta-feira, 27/08/2026",Palestrante 
,,
7:30,Credenciamento curso Pré Congresso (USG Mapeamento) ,
"10:00 - 10:30 
(30 min) ",COFFEE BREAK ,,
10:30 - 10:50         (20 min),"Conferência: Cirurgia Robótica na Ginecologia e outras tecnologias associadas- 
Que benefícios já temos comprovado ?",,
10:50 - 11:10         (20 min),Conferência: Adenomiose - Quando o tratamento  clínico falhar  o mais posso oferecer a mulher infértil? ,,
11:10 - 11:25         (15 min),"Conferência: Manejo clínico da dor - O que temos de novo ? Canabbis? 
E no manejo avançado da dor o que temos de novo ?",,
"11:25 - 12:35
(01 hora e 
10 min) ",MESA 1 - Infertilidade e Endometriose ,,
"11:25 - 11:40 
(15 min) ",O que fazer primeiro na paciente com endometriose  : FiV  antes e depois operar ou operar e depois a FIV ?,,
"11:40 - 11:55
(15 min) ",Na investigação Histeroscopica da mulher infértil : O que devo procurar ? Como tratar ?,,
"11:55 - 12:10
(15 min) ",O desafio do manejo das malformações uterinas: do diagnóstico à escolha da via ideal de abordagem. Qual a melhor estratégia cirúrgica?,,
"12:10 - 12:25
(15 min) ",Da implantação até o parto - Muda alguma alguma coisa no acompanhamento da mulher que cursa com endometriose e infertilidade ?,,
"12:25 - 12:35
(10 min) ",Discussão ,,
"12:35 - 12:55
(20 min) ", BRUNCH,,
"12:55 - 13:15
(20 min) ",Conferência: A sobrevida do cirurgião Videolaparoscopico  e  Robótico  da ergonomia à saúde mental ,,
"13:15 - 13:35
(20 min) ",Conferência: Canetas Emagrecedoras - Qual o mecanismo de ação. Ela poderia ajudar no tratamento da endometriose?,,
"13:35 - 14:25            (50 min)
",MESA 2 - Coloproctologia em ação,,
"13:35 - 14:05            (30 min)
","TRIPLO CROSS FIRE 
Shaving    /   Discoide e duplo discoide    /   Ressecção Segmentar ",,
"14:05 - 14:15            (10 min)
",Fístulas intestinais - Como conduzir ?,,
"14:15 - 14:25            (10 min)
",Discussão ,,
14:25 - 14:35           (10 min),COFFEE BREAK ,,
"14:25 - 16:15
(01 hora e 50 min) ",CIRURGIAS AO VIVO ,,
16:15,Encerramento e Brinde,,
 CONGRESSO ENDOGINECO ,,,
Horário ,"Sábado , 29/08/2026",Palestrante ,
AUDITÓRIO B  ,,,
08:00 - 10:00,CIRURGIAS AO VIVO ,,
"10:00 - 10:30 
(30 min) ",COFFEE BREAK ,,
10:30 - 10:45             (15 min),Conferência: Tratamento das distopias genitais - Qual a melhor técnica ? E os resultados ?,,
10:45 - 11:00            (15 min),Conferência: Decidir é mais difícil do que operar,,
11:00 - 11:15            (15 min),Conferência: Quando a dor pélvica é muito mais do que a endometriose ,,
11:15 - 11:30            (15 min),Conferência: PBM ( patient blood Management) Como o preparar o paciente para cirugia? Até quando  tolerar a anemia ?,,
"11:30 - 12:35
(01 hora e 
05 min) ",MESA 1 - A multidisciplinaridade ,,
"11:30 - 11:45
(15 min) ",A melhor dieta para paciente com endometriose ? Ha espaço para suplementos?,,
"11:45 - 12:00
(15 min) ",Fisioterapia Pélvica antes e após a cirurgia. Que resultados temos comprovados ?,,
"12:00 - 12:15
(15 min) ",A acupuntura como tratamento adjuvante nas patologias ginecológicas. ,,
"12:15 - 12:25
(10 min) ",Os impactos da atividade física no tratamento da endometriose. Qual o melhor exercício ?,,
"12:25 - 12:35
(10 min) ",Discussão ,,
"12:35 - 13:55
(1 hora e 20 min) ", BRUNCH,,
"13:55 - 14:25
(30 min) ",MESA 2  - Urologia em ação ,,
"13:55 - 14:10
(15 min) 
","Tratamento da endometriose ureteral, em pelves congeladas existe uma melhor técnica ?",,
"14:10 - 14:25
(15 min) ",Lesão vesical - limites da ressecção. Existem repercussões?,,
14:25 - 14:35        (10 min),COFFEE BREAK ,,
"14:35 - 16:15
(01 hora e 40 min) ",CIRURGIAS AO VIVO ,,
16:15,Encerramento e Brinde,
