Nome ,Curriculo ,,,,,,,,,,,,,,,,,,,,,,
Leonardo Lima,"Ginecologista e Preceptor da Residência de Tocoginecologia do Barão de Lucena.
Atuação em endoscopia ginecológica e Tratamento Laparoscópico de Endometriose.",,,,,,,,,,,,,,,,,,,,,,
Marcos Saturnino,"Coloproctologista 
Membro titular da Sociedade Brasileira de Coloproctologia (SBCP).
Membro do Grupo de Estudos da Doença Inflamatória Intestinal do Brasil (GEDIIB) e da Organização Europeia de Crohn e Colites.        ",,,,,,,,,,,,,,,,,,,,,,
Maria Cecília ,"Ginecologista pelo HU-UFCG 2021-2023 
Ano adicional em Oncologia Ginecológica pelo HC-UFPE 2024-2025 
Membro do GiMi – Hospital Santa Joana (HSJ)- Recife desde 2025
",,,,,,,,,,,,,,,,,,,,,,
Mariana Muniz,"Ginecologia e obstetrícia pelo Hospital Barão de Lucena
Oncoginecologia pelo Hospital das Clínicas-UFPE",,,,,,,,,,,,,,,,,,,,,,
Mariana Santiago,,,,,,,,,,,,,,,,,,,,,,,
Mônica Zomer,"Médica pela Universidade do Sul de Santa Catarina, com Residência em Ginecologia e Obstetrícia e especialização em Cirurgia Minimamente Invasiva, Videolaparoscopia e Histeroscopia. Mestre pela Universidade Federal do Paraná (UFPR), com pesquisa em endometriose intestinal. Membro Titular da SOBRACIL e SOGIPA. Docente en cursos nacionais e internacionais",,,,,,,,,,,,,,,,,,,,,,
Neidson Menezes,,,,,,,,,,,,,,,,,,,,,,,
Paulo Ayroza,,,,,,,,,,,,,,,,,,,,,,,
Phalbo Rodrigo ,,,,,,,,,,,,,,,,,,,,,,,
Rafael Alves,"Médico pela FPS, Residência em Ginecologia e Obstetrícia pela UPE/CISAM
Especializado em Endoscopia Ginecológica pela Santa Casa de Misericórdia de São Paulo.
Especializado em Cirurgia Robótica no Hospital Israelita Albert Einstein de São Paulo.    
⁠Título em Endoscopia Ginecológica pela FEBRASGO",,,,,,,,,,,,,,,,,,,,,,
Rafael Oliveira,"Urologista pelo Hospital Oswaldo Cruz e 
Fellowship de cirurgia robótica  pelo Hospital Santa Joana Recife            ",,,,,,,,,,,,,,,,,,,,,,
Rita Santos,"Especialista em fisioterapia oncológica- Unyleyla;
Formação vascular, Linfoterapia Ângela Max;
Especialista em reabilitação músculo esquelética-Gama Filho;
Formação taping- Internacional Academy;
Especialista cardiopulmonar-Pulmocardio;
Formação em Neurociência da dor, aplicada à prática clínica. 
Fisioterapeuta oncológica do Instituto de mama do Recife, da fisiooncoreabilit e do Núcleo de
oncologia do agreste.",,,,,,,,,,,,,,,,,,,,,,
Sirley Portela,"Dra. Sirley Portela Vasconcelos da Rocha
Endocrinologista – CRM-PE: 18938 / RQE: 2868
Médica formada pela Universidade Federal de Campina Grande (UFCG)
Residência em Clínica Médica no Hospital Getúlio Vargas (PE)
Residência em Endocrinologia no Hospital Agamenon Magalhães (PE)
Médica concursada da Secretaria Estadual de Saúde de Pernambuco
Médica concursada do Tribunal Regional Eleitoral da Paraíba
Áreas de atuação:
* Obesidade
* Saúde Feminina
* Diabetes Mellitus",,,,,,,,,,,,,,,,,,,,,,
