Nome ,Curriculo ,,,,,,,,,,,,,,,,,,,,,,
Aleide Tavares ,"Ginecologista, mestre em Ciências da Saúde UFPE 
Certificado de atuação em Sexologia pela FEBRASGO
Membro da Sociedade internacional de Medicina Sexual 
Membro da Sociedade Brasileira de Estudos em Sexualidade Humana 
Coordenadora do ambulatório de climatério HC-UFPE.",,,,,,,,,,,,,,,,,,,,,,
Alisson Chianca,"Ginecologia e Endoscopia Ginecológica pela Santa Casa de São Paulo.
Cirurgião Robótico DaVince Xi. 2020.
Preceptor da residência médica em endoscopia ginecológica do HU- UFMA",,,,,,,,,,,,,,,,,,,,,,
Altina Castelo Branco ,"Titulo de especialista em Reprodução assistida pela universidade Paris XI e FEBRASGO 
Doutora em Saúde Materno Infantil pelo Instituto de Medicina Integral Professor Fernando Figueira 
Professora Adjunta na disciplina de Tocoginecologia da universidade católica
Coordenadora da pós graduação em reprodução assistida Latu sensu da Unicap 
Diretora Médica da ART Fértil Medicina Reprodutiva em Recife",,,,,,,,,,,,,,,,,,,,,,
Ana Carolina Serafim ,"Ginecologista pelo IMIP com Título em Ginecologia  pela FEBRASGO 
Especialista em Endoscopia Ginecológica pelo IAMSP com Título pela FEBRASGO 
Preceptora da Residência Médica de Endoscopia Ginecológica HC UFPE",,,,,,,,,,,,,,,,,,,,,,
Ana Sierra - México ,,,,,,,,,,,,,,,,,,,,,,,
Andreisa Bilhar,,,,,,,,,,,,,,,,,,,,,,,
Anna Luiza Lobão,,,,,,,,,,,,,,,,,,,,,,,
Antônio César Cruz,"Coordenador da urologia do hospital Santa Joana 
Professor da Faculdade de medicina de Olinda",,,,,,,,,,,,,,,,,,,,,,
Arthur Farias,"Médico pela Universidade Federal da Paraíba (UFPB)
Urologista e Uro-oncologista pela Disciplina de Urologia da Faculdade de Medicina do ABC (FMABC)
Clinical Fellowship em Cirurgia Robótica pelo ERUS Curriculum/European Association of Urology (EAU) - Hospital da Luz, Portugal/ Orsi Academy, Bélgica
Coordenador médico do programa de Cirurgia Robótica do Hospital Nossa Senhora das Neves/ Rede D´or.
Membro Titular da Disciplina de Câncer de Próstata da Sociedade Brasileira de Urologia, Biênio 2026-2027.",,,,,,,,,,,,,,,,,,,,,,
Carlos Godoy ,"Cirurgião Ginecológico graduado pela UNICAMP, com especialização em Oncologia Pélvica e Cirurgia Minimamante Invasiva, com ênfase no tratamento de Endometriose e Câncer Ginecológico. Mestre em Ginecologia pela UNICAMP. 
Médico Líder do Núcleo de Endometriose do Hospital São Luiz Campinas e do setor de Oncologia Ginecológica do Hospital Vera Cruz Campinas. Proctor em Robótica pela Intuitive.",,,,,,,,,,,,,,,,,,,,,,
Catarina Michelle( Roval) ,"Farmacêutica da Farmácia Roval – Câmara Técnica (P&D)
Doutora em Biologia Aplicada à Saúde – UFPE
Mestre em Bioquímica – UFPE
Especialista em Microbiologia Aplicada – UFRPE
Especialista em Ciência dos Alimentos e Longevidade Humana
Professora da Pós-Graduação em Dermatologia e Tricologia – CBMS
Professora da Pós-Graduação em Nutrição Esportiva, Nutrição Clínica e Fitoterapia; Materno-Infantil – FAFIRE, INADES, CCE, IPGS, IAF(Instituto Andréia  Friques). 
Professora da Pós-Graduação em Cosmetologia Aplicada à Estética e Fisioterapia Dermatofuncional – CCE e IDE
Professora da Pos-Graduação Farmácia Magistral - Gestão - IDE. 
Palestrante do Congresso Ortomolecular- FAPES/SP
Palestrante na área da saúde (Medicina, Nutrição, Fisioterapia, Farmácia e Biomedicina).",,,,,,,,,,,,,,,,,,,,,,
Cicilia Pontes ,"Título de especialista em Diagnóstico por Imagem pelo Colégio Brasileiro de Radiologia (CBR);
Preceptora da residência médica de diagnóstico por imagem do Hospital das Clínicas de Pernambuco (HC-UFPE);
Mestre em cirurgia pela UFPE 
Diretora médica do Grupo Medere.",,,,,,,,,,,,,,,,,,,,,,
Claudia Joaquim,"Títular pelo CBC e Sociedade Brasileira de Coloproctologia
Coordenadora da Coloproctologia do Hospital Barra Dor e Glória Dor
Professora da pós graduação em Videolaparoscopia do Instituto Crispi/Suprema
Coloproctologista do Hospital Federal de Ipanema",,,,,,,,,,,,,,,,,,,,,,
Dahra Teles,"Médica hematologista coordenadora da hematologia do Hospital Santa Joana Recife - Rede Américas e do Hospital Universitário Oswaldo Cruz 
Doutorado em ciências pela Universidade de São Paulo
Professora adjunta da disciplina de Hematologia da Universidade de Pernambuco",,,,,,,,,,,,,,,,,,,,,,
Edilberto Rocha,"Especialista em Reprodução humana assistida 
⁠Doutor em tocoginecologia - Unicamp 
Professor adjunto de obstetrícia - UFPE e Uninassau
Coordenador da Linha da mulher e do ISEP - HSJR",,,,,,,,,,,,,,,,,,,,,,
Fábio Ohara,"Médico assistente do setor de endoscopia ginecológica e endometriose da santa casa de São Paulo
Supervisor da residência médica de Obstetrica e ginecologia da santa casa de São Paulo 
Membro da comissão nacional especializada de endoscopia ginecológica da febrasgo
Membro da comissão de ensino da sociedade brasileira de endometriose",,,,,,,,,,,,,,,,,,,,,,
Fernando Heredia - Chile ,,,,,,,,,,,,,,,,,,,,,,,
Gilcelia Barbieri,"Nutricionista
Pós-graduada em Saúde Pública, Nutrição Esportiva e Nutrição Clínica Funcional
Especialista em saúde da mulher e fertilidade
Mestra e Doutora em Inovação Terapêutica
Fundadora da Clínica de Nutrição Gilcélia Barbieri e do Gil Barbieri Academy
Docente de Pós-graduação e do Gil Barbieri Academy
Idealizadora do SUMMIT NUTRI DA MULHER
Palestrante",,,,,,,,,,,,,,,,,,,,,,
Giuliano Borrelli,"Pós-Doutor em Ginecologia pela USP (Universidade de São Paulo)
Duplo-Doutorado - USP e Universidade de Berlim - Charité
Atuação em Cirurgia Minimamente Invasiva - Cirurgião Robótico
Co-Fundador da Casa Endo - Clinica especializada em Saúde Da Mulher",,,,,,,,,,,,,,,,,,,,,,
Guilherme Zanluchi,"Ginecologia e Obstetrícia pela Irmandade da Santa Casa de Misericórdia de São Paulo 
Fellowship em Cirurgia Minimamente Invasiva e Uroginecologia pelo Hospital BP - A Beneficência Portuguesa de SP – Programa internacional AAGL- FMIGS)
Médico colaborador do Setor de Endometriose do HC - FMUSP",,,,,,,,,,,,,,,,,,,,,,
Iolanda Matias,"Coordenadora  da Corirgia minimamente invasiva em
Ginecologia do Hospital Santa Joana, Cirurgiã Oncológica , Especialista em Ciregia Minimamemte Invasiva pelo Hospotal Sirio Libanez, mestre e Doutora em biologiaolecular do câncer ",,,,,,,,,,,,,,,,,,,,,,
Isabella Frota ,"Fisioterapeuta 
Doutoranda- UFC
Mestre em Ciências Médico Cirúrgicas - UFC
Especialista em Reabilitação do assoalho pélvico - UNIFESP
Fisioterapeuta da Clínica Salvata 
Fisioterapeuta Saúde da Mulher- MEAC/ UFC/ EBSERH
Preceptora Residência Multiprofissional- MEAC/ UFC/ EBSERH
Membro do Departamento de Disfunção Sexual Feminina (DSF) da ABEMSS (2020-2024)",,,,,,,,,,,,,,,,,,,,,,
Isaura Vieira,"Formada em Fisioterapia pela Uninassau
Formação em acupuntura na China pelo Hospital de Medicina Chinesa em Beijing - 2025
Formação em Acupuntura pela Taos 
Formação completa no método Érika Nery",,,,,,,,,,,,,,,,,,,,,,
Italo Cruz ,"Formado em medicina pela UFPE em 2005, Residência Médica em Ginecologia e Obstetrícia em 2010 pelo Hospital das Clínicas - UFPE. Atualmente é militar oficial médico ginecologista da Polícia Militar de Pernambuco  em Recife-PE no Centro Médico Hospitalar- PMPE no posto de capitão, obstetra e ginecologista  da Multiclínica da mulher em Recife , plantonista e evolucionista da maternidade do Hospital Geral Materno Infantil da Unimed Recife",,,,,,,,,,,,,,,,,,,,,,
"Jaime Calderon - México 
*Online*","Especialista en ginecología y Obstetricia, Endoscopia Ginecológica y Reproducción Humana
Jefe de Servicio de Endoscopia Ginecológica – Hospital de la Mujer de Morelia, Michoacán. 2026
Vicepresidente Federación Mexicana de Colegios y Asociaciones de Endoscopia Ginecológica (2025–2027)
Expresidente Asociación Michoacana  de Endoscopia Ginecológica (2021–2023)
Profesor Titular Curso de Alta Especilidad en Endoscopia Ginecologica,  Hospital de la Mujer de Morelia. UNAM (2011 a la fecha).
Profesor Titular y/o adjunto Especialidad Ginecología y Obstetricia Hospital de la Mujer de Morelia. UNAM (2011-2022) 
Academico Posgrado Facultad de Medicina UNAM desde 2011 a la fecha.",,,,,,,,,,,,,,,,,,,,,,
Jardel Soares,,,,,,,,,,,,,,,,,,,,,,,
Jordanna Diniz ,"Cirurgiã Ginecológica 
Doutora pela Universidade do Estado do Rio de Janeiro - UERJ
Presidente Sobracil Capitulo Distrito Federal - 2023/26
Titulo de Especialista em Endoscopia Ginecológica / Patologia do Trato Genital Inferior e Colposcopia - FEBRASGO
Proctor e titulação em Cirurgia Robótica pelo Colégio Brasileiro de Cirurgiões – CBC",,,,,,,,,,,,,,,,,,,,,,
