Nome ,Curriculo ,,,,,,,,,,,,,,,,,,,,,,
Kathiane Lustosa ,"Doutora e Mestre em Cirurgia pela Universidade Federal do Ceará 
Ginecologista com título da FEBRASGO em Endoscopia ginecológica e área de atuação em cirurgia robótica e endometriose
Pós-Graduação em Endometriose e Ginecologia Minimamente Invasiva pelo Hospital Sírio Libanês 
Coordenadora do Fellowship em Cirurgias ginecológicas minimamente invasivas e robótica do Instituto Salvata",,,,,,,,,,,,,,,,,,,,,,
Lais Sousa,"Nutricionista, mestre em Gerontologia pela UFPE, com especializações em Nutrição Clínica, Nutrição Esportiva e Saúde da Mulher.
Há mais de 10 anos atua na área da nutrição, tendo acompanhado mais de 1.000 pacientes e desenvolvido uma metodologia própria de atendimento focada em resultados clínicos, fidelização e crescimento sustentável do consultório.
É fundadora da Clínica Change e idealizadora da mentoria Nutri para CEO, na qual auxilia nutricionistas a estruturarem seus processos, fortalecerem seu posicionamento e transformarem seus consultórios em negócios mais lucrativos, organizados e escaláveis, sem perder a excelência no atendimento.",,,,,,,,,,,,,,,,,,,,,,
Lilia Mendes,"Médica pela Universidade Federal do Ceará
Ginecologista e R4 de Endoscopia Ginecológica pela Maternidade Escola Assis Chateaubriand/UFC
Titulo de Especialista em cirurgia ginecológica minimamente invasiva pela Febrasgo
Preceptora do Fellowship em cirurgia ginecológica do Instituto Salvata de Educação",,,,,,,,,,,,,,,,,,,,,,
Luiz Severo,"Médico neurocirurgião funcional, especialista em dor crônica professor e escritor. 
Membro Titular da Sociedade Brasileira de Neurocirurgia (SBN) e da Sociedade Brasileira para o Estudo da Dor (SBED). 
Mestre e Doutor em Neurociências pela UFPE e autor do best-seller ""Você não precisa sentir dor"".",,,,,,,,,,,,,,,,,,,,,,
Macira Sotero ,"Psicóloga clínica e mestre pela UFPE em cooperação com o PNUD, com mais de 40 anos de carreira dedicada à saúde. Atuou como Gestora Pública na área da saúde na Sudene e possui especializações pelo Instituto Sedes Sapientiae (SP), Santa Casa de São Paulo (Psicossomática) e formação em Terapia de Família e Casal pela UFPE. Unindo experiência institucional e clínica, atualmente amplia sua prática com formação em Neuropsicologia.",,,,,,,,,,,,,,,,,,,,,,
Mariana Roma ,"Graduada pela universidade de Pernambuco 
Residência médica em ginecologia e obstetrícia pelo hospital barão de Lucena 
Eespecialização em endoscopia ginecológica pela Santa casa de misericórdia/SP
Ppreceptora da residência médica ginecologia e obstétrica hospital barão de Lucena
Preceptora do setor de histeroscopia do hospital da mulher do Recife",,,,,,,,,,,,,,,,,,,,,,
Mariana Vieira,"Colaboradora e mestranda do Setor de Endometriose do HC - FMUSP
Preceptora do Programa de Fellow em MIGS Hospital Beneficiência Portuguesa. Palestrante e instrutora do Instituto Europeu de Ciências Endoscópicas (EIES)",,,,,,,,,,,,,,,,,,,,,,
Mauro Aguiar ,"Mestre em Ciências da Saúde pela UFPE 
Chefe do setor de endoscopia ginecológica do HC-UFPE 
Membro da diretoria da SOGOPE 
Membro da câmara técnica de cirurgia robótica do CREMEPE",,,,,,,,,,,,,,,,,,,,,,
Mayara Macêdo,"Fisioterapeuta formada pela UNICAP, mestre em Fisioterapia pela UFPE e pós-graduada em Fisioterapia Uroginecológica e Obstétrica pelo IDE, com formação internacional em disfunções do assoalho pélvico pela Inspirar Holanda. Atua como coordenadora e docente da pós-graduação em Fisioterapia Pélvica e Obstétrica do Grupo CEFAPP, Sócia do instituto de urologia pediátrica de Pernambuco, além de desenvolver assistência clínica especializada em saúde da mulher, fisioterapia pélvica e reabilitação funcional feminina. É criadora do Clube da Pelve, plataforma de atualização profissional baseada em evidências científicas.",,,,,,,,,,,,,,,,,,,,,,
Melissandro Lacerda ,,,,,,,,,,,,,,,,,,,,,,,
Monica Diniz ,"Pós-graduada  em ciência  pela UNIFESP/ EPM
Título de especialista em  ginecologia  FEBRASGO 
Área de atuação em urodinamica feminina  FEBRASGO 
Professora da pós- graduação  em ginecologia  clínica  da AFYA.
Coordenadora da ginecologia cirúrgica e uroginecologia do Hospital Santa Joana Recife
Diretora médica do Núcleo Monica Diniz de uroginecologia Integrada",,,,,,,,,,,,,,,,,,,,,,
Nadja Rolim,"Médico Radiologista com título de especialista pelo CBR
Mestrado pela UFPE 
Pós graduação em medicina interna e saúde da mulher  ",,,,,,,,,,,,,,,,,,,,,,
Nara Parente ,"Graduada em nutrição, mestre e Doutora pela Universidade Estadua do Ceará 
Pós graduação em nutrição clínica funcional pela VP consultoria 
Pós graduação em fitoterapia funcional pela VP consultoria
Nutricionista na clínica Salvata 
Professora Adjunta da Universidade Estadual do Ceará",,,,,,,,,,,,,,,,,,,,,,
Natalia  Fernandes,"Nutricionista- UFPE
Mestre e doutora em nutrição UFPE 
Especialista em saúde da mulher
Especialista em comportamento alimentar 
Atua como nutricionista do Hospital de Câncer de Pernambuco e do Santa Joana 
Professora de curso de graduação e pós graduação                                                                                                                                                            
",,,,,,,,,,,,,,,,,,,,,,
Patrick Bellelis,"Doutorado em Endometriose pelo Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo
Fez parte da Diretoria da SBE de 2007-2022
Diretor Clínico do CEPE - Centro Paulista de Endometriose e Ginecologia Minimamente Invasiva",,,,,,,,,,,,,,,,,,,,,,
Paulo Carvalho ,"Professor Titular da Universidade Federal de Pernambuco. 
Pós doutorado em Biologia aplicada a Saúde - LIKA.
Chefe do Serviço de Promoção de Saúde e Qualidade de Vida - HC/UFPE/HUBrasil.
Membro da COESAS - Sociedade Brasileira de Cirurgia Bariátrica e Metabólica.
Docente Permanente do Programas de Pós Graduação em Educação Física e Cirurgia da UFPE.
Mais de 30 anos Elabora e Prescreve programas de Treinamento para pessoas portadoras de doenças crônicas nao transmissíveis.
Especialista em programas de treinamento especializados para redução da inflação e dor.",,,,,,,,,,,,,,,,,,,,,,
Paulo Mozart,"Preceptor da Residência de Coloproctologia do Hospital Barão de Lucena. 
Membro Titular da Sociedade Brasileira de Coloproctologia
Mestre em Cirurgia pela UFPE",,,,,,,,,,,,,,,,,,,,,,
Penélope Melo,"Medica radiologista com foco de atuação em pelve feminina e endometriose 
Referencia em mapeamento de endometriose no Santa Joana Diagnósticos, clinica Manoel Florencio em Caruaru e Clinica Medere
Preceptora da residência medica de Radiologia do IMIP e Mestranda em Saude integral pelo Imip
Professora de radiologia medica da faculdade de medicina da uninassau.",,,,,,,,,,,,,,,,,,,,,,
Pericles Oliveira,"CIRURGIA GERAL RQE 1988
CIRURGIA DO APARELHO DIGESTIVO RQE 6141
CIRURGIA VIDEOLAPAROSCOPICA RQE 6142
Especialista em Cirurgia do Aparelho Digestivo pelo CBCD/AMB
Área de Atuação em Cirurgia Videolaparoscopia pelo CBCD/AMB
Membro Titular do Colégio Brasileiro de Cirurgia Digestiva /CBCD 
Membro Titular da Sociedade Brasileira de Cirurgia Minimamente Invasiva e Robótica/SOBRACIL /Ex-Presidente do Capítulo Paraíba 
Cirurgião oncológico do aparelho digestivo pelo CBCD/AMB em atividade e ex coordenador da cirurgia oncológica do Hospital Napoleão Laureano",,,,,,,,,,,,,,,,,,,,,,
Priscilla Vieira,"Nutricionista Clínica no Hospital Santa Joana Recife - Ênfase na UTI 
Graduação em Ciências da Nutrição - UFPE 
Residência em Nutrição Clínica - HC/UFPE
Mestre em Nutrição Clínica – faculdade de ciência da nutrição e alimentação da universidade do porto FCNAUP -Portugal 
Pós-graduada em Oncologia - liga portuguesa contra o cancro LPCC - Portugal",,,,,,,,,,,,,,,,,,,,,,
Raquel Magalhães,,,,,,,,,,,,,,,,,,,,,,,
Renato Barretto,"Professor associado do setor de vídeo endoscopia ginecológica e endometriose da FMABC 
Preceptor da residência de coloproctologia na cirurgia minimamente invasiva e robótica na disciplina de cirurgia do aparelho digestivo da FMABC 
Titular da Sociedade Brasileira de Cirurgia Minimamente Invasiva e Robótica 
Titular da Sociedade Brasileira Cirurgia Bariátrica e Metabólica 
Tutor Nacional em cirurgia robótica pela Associação Médica Brasileira e Colégio Brasileiro de Cirurgiões 
Coordenador da cirurgia do aparelho digestivo do grupo Santa Joana
",,,,,,,,,,,,,,,,,,,,,,
Rodrigo Sader Heck ,,,,,,,,,,,,,,,,,,,,,,,
Rosaura Almeida,"Nutricionista. Com atuação em consultório Hospital Santa Joana Recife e gestora da nutrição no Hospital da Mulher do Recife
Consultora e coaching
Mestre em Cirurgia pelo PPGC- UFPE. 
Mestre pela Universidad Europea del Atlantico  (Linha de pesquisa: Nutrição e dietética. 
Especialista em Nutrição Clínica pelo programa de pós graduação da  Universidade Federal de Pernambuco- UFPE.  
Especialista em Nutrição  na Obesidade e emagrecimento- FUNIBER .
MBA em Gestão hospitalar  e Sistemas de saúde.",,,,,,,,,,,,,,,,,,,,,,
"Santiago Machicado 

","Médico e Cirurgião – Pontificia Universidad Javeriana (Bogotá, Colômbia)
Especialista em Ginecologia e Obstetrícia – Fundación Universitaria de Ciencias de la Salud (FUCS) (Bogotá, Colômbia)
Mestre em Reprodução Humana – Universidade de Valência
Instituto Valenciano de Infertilidad (IVI) (Valência, Espanha)
Diploma em Cirurgia Endoscópica Ginecológica – Fundación Universitaria de Ciencias de la Salud (FUCS) (Bogotá, Colômbia)
Diretor Médico – Clínica Machicado (Cúcuta, Colômbia)
Presidente – Associação Nortesantandereana de Ginecologia e Obstetrícia (SONOGO)
Tesoureiro – Associação dos Centros Colombianos de Reprodução Humana (ACCER)",,,,,,,,,,,,,,,,,,,,,,
Sara Arcanjo,"Doutorado em Ciências Médico-Cirúrgicas pela Universidade Federal do Ceará
Fellowship em Uroginecologia e Disfunção do Assoalho Pélvico pelo Hospital Geral César Cals
Título de Endoscopia Ginecológica pela Febrago 
Sócia-diretora do Instituto Salvata de Educação",,,,,,,,,,,,,,,,,,,,,,
Yole Minervino ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
