SEXTA-FEIRA - 16 de outubro de 2026,,,,,,,,,,,,,,,,,,,,,
"Mesa 5 – Carcinoma Hepatocelular 
Presidente: Leila Beltrão (Hepatologista) 
Moderadores: Carolina Reis (Hepatologista), Ana Rita Carvalho (Radiologista), Roberto Borges (Oncologista) 
",,,,,,,,,,,,,,,,,,,,,
"16:45 - 16:55
(10 min) 
",Carcinoma hepatocelular BCLC A: eu indico tratamentos ablativos — para quem e por quê?,"Carlos Abath
(Cirurgião Vascular)
",,,,,,,,,,,,,,,,,,,
"16:55 - 17:05
(10 min) ",Carcinoma hepatocelular BCLC A: eu indico cirurgia — para quem e por quê?,"Olival Lucena 
(Cirurgião) ",,,,,,,,,,,,,,,,,,,
"17:05 - 17:15
(10 min) ",DISCUSSÃO ,,,,,,,,,,,,,,,,,,,,
"17:15 - 17:45
(30 min) ",SIMPÓSIO ROCHE ,"Antônio Douglas 
(Oncologista) ",,,,,,,,,,,,,,,,,,,
"17:45 - 17:55
(10 min) ","Transplante hepático após imunoterapia no carcinoma hepatocelular: seleção de pacientes, riscos e benefícios","Lilian Rose Gomes 
(Hepatologista) ",,,,,,,,,,,,,,,,,,,
"17:55 - 18:05
(10 min) ",DISCUSSÃO ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
