"

 II Simpósio Pernambucano Multidisciplinar de Prevenção de Quedas
",,
Horário,21 de agosto (sexta-feira),Palestrante 
PRÉ-SIMPÓSIO  e ABERTURA,,
"14h15 – 17h15 
(03 horas)",OFICINAS PRÁTICAS ,
"14h15 - 14h30
(15 min)",Da perda muscular à queda: impactos da disfagia e da inapetência na mobilidade e funcionalidade,"Marina Hazin
(Fisioterapeuta)",,,,,,,,,,,,,,,,,,,,,,
"14h30 - 15h15
(45 min)","PALESTRA CIENTÍFICA  
Além da capacidade funcional: autoeficácia, confiança funcional e os mecanismos invisíveis do risco de quedas em pessoas idosas     
                                                                 ","Carolina Nanque
(Fisioterapeuta)",,,,,,,,,,,,,,,,,,,,,,
15h15 – 15h35  (20 min) ,COFFEE BREAK ,,,,,,,,,,,,,,,,,,,,,,,
15h35 - 16h05 (30 min) ,"PALESTRA TEMÁTICA                   
A Abordagem da Terapia Ocupacional no Ambiente Hospitalar: Segurança, Funcionalidade e Alta Responsável
",,,,,,,,,,,,,,,,,,,,,,,
,Avaliação centrada no desempenho ocupacional,"Genaína Couto
(Terapeuta Ocupacional)",,,,,,,,,,,,,,,,,,,,,,
,Organização segura do ambiente hospitalar,,,,,,,,,,,,,,,,,,,,,,,
,Rotinas significativas durante a internação,,,,,,,,,,,,,,,,,,,,,,,
,Planejamento da alta e adaptação domiciliar,,,,,,,,,,,,,,,,,,,,,,,
16h05 - 16h55  (50 min) ,"MESA INTEGRADA                 
Aspectos Psicossociais das Quedas: Luto Funcional, Isolamento e Reinserção Comunitária
Moderadores: Michelle Santos (Fisioterapeuta)",,,,,,,,,,,,,,,,,,,,,,,
16h05 - 16h20 (15 min),Impacto emocional pós-queda,"Clara Maia
(Psicóloga) ",,,,,,,,,,,,,,,,,,,,,,
16h20 - 16h35 (15 min),Restrição social,"Luciana Karoline
(Assistente Social)",,,,,,,,,,,,,,,,,,,,,,
16h35 - 16h50 (15 min),Estratégias de reinserção e rede de apoio,"Pamela Nascimento
(Terapeuta Ocupacional) ",,,,,,,,,,,,,,,,,,,,,,
16h50 - 16h55 (15 min),DISCUSSÃO ,,,,,,,,,,,,,,,,,,,,,,,
16h55 - 17h25 (30 min) ,PALESTRA TECNOLOGIA                                                                                                    Gerontecnologia: IA da predição à prevenção de quedas,"Amanda Perez
(Fisioterapeuta)",,,,,,,,,,,,,,,,,,,,,,
17h25 - 18h10 (45 min) ,"MESA DE ENCERRAMENTO 
Integração Multidisciplinar na Linha de Cuidado da Pessoa Idosa em Risco de Queda
Moderador: Renato Leitão (Fisioterapeuta)",,,,,,,,,,,,,,,,,,,,,,,
17h25 - 17h35 (10 min) ,"Síntese dos consensos
Recomendações técnicas
Encaminhamentos institucionais
",Danielle Ferraz (Enfermeira) - Santa Joana Recife ,,,,,,,,,,,,,,,,,,,,,,
17h35 - 17h45 (10 min) ,,,,,,,,,,,,,,,,,,,,,,,,
